,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
116,8,Pooled data Test,0.7857142857142857,0.8201530612244898,0.7931034482758621,0.8214285714285714,['random_Q'],CamCAN,0
117,8,Pooled data Train,0.8526785714285714,0.9135044642857143,0.852017937219731,0.8482142857142857,['random_Q'],CamCAN,0
118,9,Pooled data Test,0.6607142857142857,0.7716836734693877,0.6122448979591837,0.5357142857142857,['random_Q'],CamCAN,0
119,9,Pooled data Train,0.8526785714285714,0.9301658163265306,0.8533333333333334,0.8571428571428571,['random_Q'],CamCAN,0
120,10,Pooled data Test,0.7321428571428572,0.7946428571428571,0.7457627118644068,0.7857142857142857,['random_Q'],CamCAN,0
121,10,Pooled data Train,0.8526785714285714,0.9197225765306122,0.852017937219731,0.8482142857142857,['random_Q'],CamCAN,0
122,11,Pooled data Test,0.6785714285714286,0.7257653061224489,0.6666666666666666,0.6428571428571429,['random_Q'],CamCAN,0
123,11,Pooled data Train,0.8571428571428571,0.9268176020408163,0.8571428571428571,0.8571428571428571,['random_Q'],CamCAN,0
124,12,Pooled data Test,0.7142857142857143,0.6645408163265306,0.7333333333333333,0.7857142857142857,['random_Q'],CamCAN,0
125,12,Pooled data Train,0.8660714285714286,0.9235491071428571,0.8648648648648649,0.8571428571428571,['random_Q'],CamCAN,0
126,13,Pooled data Test,0.6428571428571428,0.7155612244897959,0.6666666666666666,0.7142857142857143,['random_Q'],CamCAN,0
127,13,Pooled data Train,0.8616071428571428,0.9201211734693877,0.8634361233480177,0.875,['random_Q'],CamCAN,0
128,14,Pooled data Test,0.7321428571428572,0.8303571428571429,0.7368421052631579,0.75,['random_Q'],CamCAN,0
129,14,Pooled data Train,0.8482142857142857,0.9294483418367347,0.8468468468468469,0.8392857142857143,['random_Q'],CamCAN,0
130,15,Pooled data Test,0.7321428571428572,0.8392857142857143,0.7457627118644068,0.7857142857142857,['random_Q'],CamCAN,0
131,15,Pooled data Train,0.8616071428571428,0.9212372448979593,0.8622222222222222,0.8660714285714286,['random_Q'],CamCAN,0
132,16,Pooled data Test,0.6964285714285714,0.7806122448979592,0.6909090909090909,0.6785714285714286,['random_Q'],CamCAN,0
133,16,Pooled data Train,0.8571428571428571,0.9158163265306122,0.8571428571428571,0.8571428571428571,['random_Q'],CamCAN,0
134,17,Pooled data Test,0.6607142857142857,0.693877551020408,0.6779661016949152,0.7142857142857143,['random_Q'],CamCAN,0
135,17,Pooled data Train,0.8258928571428572,0.918765943877551,0.821917808219178,0.8035714285714286,['random_Q'],CamCAN,0
136,18,Pooled data Test,0.6607142857142857,0.6951530612244898,0.6885245901639344,0.75,['random_Q'],CamCAN,0
137,18,Pooled data Train,0.875,0.9311224489795918,0.8738738738738738,0.8660714285714286,['random_Q'],CamCAN,0
138,19,Pooled data Test,0.6607142857142857,0.7423469387755103,0.6274509803921569,0.5714285714285714,['random_Q'],CamCAN,0
139,19,Pooled data Train,0.8839285714285714,0.9356664540816326,0.8839285714285714,0.8839285714285714,['random_Q'],CamCAN,0
140,20,Pooled data Test,0.625,0.625,0.631578947368421,0.6428571428571429,['random_Q'],CamCAN,0
141,20,Pooled data Train,0.8616071428571428,0.9282525510204082,0.8597285067873304,0.8482142857142857,['random_Q'],CamCAN,0
142,21,Pooled data Test,0.6785714285714286,0.7257653061224489,0.6785714285714286,0.6785714285714286,['random_Q'],CamCAN,0
143,21,Pooled data Train,0.8660714285714286,0.9260204081632654,0.8660714285714286,0.8660714285714286,['random_Q'],CamCAN,0
144,22,Pooled data Test,0.75,0.860969387755102,0.7407407407407407,0.7142857142857143,['random_Q'],CamCAN,0
145,22,Pooled data Train,0.8303571428571429,0.921875,0.8303571428571429,0.8303571428571429,['random_Q'],CamCAN,0
146,23,Pooled data Test,0.6428571428571428,0.729591836734694,0.6551724137931034,0.6785714285714286,['random_Q'],CamCAN,0
147,23,Pooled data Train,0.8616071428571429,0.932796556122449,0.8571428571428571,0.8303571428571429,['random_Q'],CamCAN,0
148,24,Pooled data Test,0.6964285714285714,0.7716836734693877,0.6792452830188679,0.6428571428571429,['random_Q'],CamCAN,0
149,24,Pooled data Train,0.84375,0.9220344387755103,0.8458149779735683,0.8571428571428571,['random_Q'],CamCAN,0
150,0,Pooled data Test,0.525,0.56,0.5365853658536586,0.55,['random_Q'],SALD,1
151,0,Pooled data Train,0.9624999999999999,0.9921875,0.9629629629629629,0.975,['random_Q'],SALD,1
152,1,Pooled data Test,0.6499999999999999,0.6825,0.631578947368421,0.6,['random_Q'],SALD,1
153,1,Pooled data Train,0.95,0.9839062499999999,0.9506172839506173,0.9625,['random_Q'],SALD,1
154,2,Pooled data Test,0.625,0.6625,0.6511627906976745,0.7,['random_Q'],SALD,1
155,2,Pooled data Train,0.9625,0.9884375,0.9625,0.9625,['random_Q'],SALD,1
156,3,Pooled data Test,0.525,0.4925,0.5365853658536586,0.55,['random_Q'],SALD,1
157,3,Pooled data Train,0.9375,0.985625,0.9375,0.9375,['random_Q'],SALD,1
158,4,Pooled data Test,0.475,0.5349999999999999,0.4,0.35,['random_Q'],SALD,1
159,4,Pooled data Train,0.9375,0.98046875,0.9390243902439024,0.9625,['random_Q'],SALD,1
160,5,Pooled data Test,0.625,0.6275,0.5714285714285714,0.5,['random_Q'],SALD,1
161,5,Pooled data Train,0.94375,0.9879687500000001,0.9440993788819876,0.95,['random_Q'],SALD,1
162,6,Pooled data Test,0.525,0.5,0.5128205128205128,0.5,['random_Q'],SALD,1
163,6,Pooled data Train,0.9375,0.984375,0.9382716049382716,0.95,['random_Q'],SALD,1
164,7,Pooled data Test,0.475,0.56,0.5333333333333333,0.6,['random_Q'],SALD,1
165,7,Pooled data Train,0.95,0.99171875,0.9512195121951219,0.975,['random_Q'],SALD,1
166,8,Pooled data Test,0.55,0.5825,0.5263157894736842,0.5,['random_Q'],SALD,1
167,8,Pooled data Train,0.95625,0.98640625,0.9565217391304348,0.9625,['random_Q'],SALD,1
168,9,Pooled data Test,0.6,0.6425000000000001,0.6,0.6,['random_Q'],SALD,1
169,9,Pooled data Train,0.9625,0.9884375,0.9625,0.9625,['random_Q'],SALD,1
170,10,Pooled data Test,0.675,0.72,0.6829268292682927,0.7,['random_Q'],SALD,1
171,10,Pooled data Train,0.95625,0.9915625,0.9565217391304348,0.9625,['random_Q'],SALD,1
172,11,Pooled data Test,0.5,0.5225000000000001,0.47368421052631576,0.45,['random_Q'],SALD,1
