site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
eNKI,22.0,62.0,288,40.0,3
eNKI,22.0,63.0,228,41.0,3
eNKI,22.0,64.0,228,42.0,3
eNKI,22.0,65.0,342,43.0,3
eNKI,22.0,66.0,232,44.0,3
eNKI,22.0,67.0,232,45.0,3
eNKI,22.0,68.0,348,46.0,3
eNKI,22.0,69.0,232,47.0,3
eNKI,22.0,70.0,232,48.0,3
eNKI,22.0,71.0,348,49.0,3
eNKI,22.0,72.0,220,50.0,3
eNKI,22.0,73.0,220,51.0,3
eNKI,22.0,74.0,330,52.0,3
eNKI,22.0,75.0,264,53.0,3
eNKI,22.0,76.0,264,54.0,3
eNKI,22.0,77.0,396,55.0,3
eNKI,22.0,78.0,288,56.0,3
eNKI,22.0,79.0,288,57.0,3
eNKI,22.0,80.0,432,58.0,3
eNKI,22.0,81.0,312,59.0,3
eNKI,22.0,82.0,312,60.0,3
eNKI,22.0,83.0,426,61.0,3
eNKI,22.0,84.0,328,62.0,3
eNKI,22.0,85.0,328,63.0,3
eNKI,23.0,25.0,40,2.0,3
eNKI,23.0,26.0,44,3.0,3
eNKI,23.0,27.0,66,4.0,3
eNKI,23.0,28.0,80,5.0,3
eNKI,23.0,29.0,80,6.0,3
eNKI,23.0,30.0,114,7.0,3
eNKI,23.0,31.0,108,8.0,3
eNKI,23.0,32.0,108,9.0,3
eNKI,23.0,33.0,114,10.0,3
eNKI,23.0,34.0,108,11.0,3
eNKI,23.0,35.0,108,12.0,3
eNKI,23.0,36.0,108,13.0,3
eNKI,23.0,37.0,120,14.0,3
eNKI,23.0,38.0,120,15.0,3
eNKI,23.0,39.0,144,16.0,3
eNKI,23.0,40.0,112,17.0,3
eNKI,23.0,41.0,112,18.0,3
eNKI,23.0,42.0,126,19.0,3
eNKI,23.0,43.0,124,20.0,3
eNKI,23.0,44.0,124,21.0,3
eNKI,23.0,45.0,180,22.0,3
eNKI,23.0,46.0,132,23.0,3
eNKI,23.0,47.0,132,24.0,3
eNKI,23.0,48.0,174,25.0,3
eNKI,23.0,49.0,136,26.0,3
eNKI,23.0,50.0,136,27.0,3
eNKI,23.0,51.0,204,28.0,3
