,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
2456,9,Pooled data Test,0.734375,0.7841796875,0.6792452830188679,0.5625,['random_Q'],CamCAN,16
2457,9,Pooled data Train,0.8011727078891258,0.8998400852878465,0.8122866894197952,0.8880597014925373,['random_Q'],SALD,16
2458,9,Pooled data Train,0.8619081779053084,0.9487087517934004,0.8670520231213873,0.8823529411764706,['random_Q'],eNKI,16
2459,9,Pooled data Train,0.8208955223880597,0.922699933169971,0.7966101694915254,0.7014925373134329,['random_Q'],CamCAN,16
2460,10,Pooled data Test,0.5719741480611046,0.6157461809635721,0.6236559139784946,0.6304347826086957,['random_Q'],SALD,16
2461,10,Pooled data Test,0.725820016820858,0.7712363330529858,0.696969696969697,0.7931034482758621,['random_Q'],eNKI,16
2462,10,Pooled data Test,0.6728110599078341,0.7391705069124425,0.6451612903225806,0.5714285714285714,['random_Q'],CamCAN,16
2463,10,Pooled data Train,0.7825991740708297,0.9038293079714679,0.7956204379562044,0.8934426229508197,['random_Q'],SALD,16
2464,10,Pooled data Train,0.8493427704752274,0.9446726491405459,0.8623376623376623,0.9021739130434783,['random_Q'],eNKI,16
2465,10,Pooled data Train,0.8211761379700311,0.937970031099802,0.7911111111111111,0.6793893129770993,['random_Q'],CamCAN,16
2466,11,Pooled data Test,0.6511350059737157,0.7168458781362007,0.6875,0.7096774193548387,['random_Q'],SALD,16
2467,11,Pooled data Test,0.7204506802721089,0.8418367346938775,0.7522935779816514,0.8367346938775511,['random_Q'],eNKI,16
2468,11,Pooled data Test,0.7078431372549019,0.7950980392156862,0.64,0.5333333333333333,['random_Q'],CamCAN,16
2469,11,Pooled data Train,0.7891235699125123,0.8867836620593261,0.8039867109634552,0.8832116788321168,['random_Q'],SALD,16
2470,11,Pooled data Train,0.8663155949741316,0.9402808573540281,0.8682634730538922,0.8841463414634146,['random_Q'],eNKI,16
2471,11,Pooled data Train,0.8373440285204992,0.9296457219251337,0.819672131147541,0.7352941176470589,['random_Q'],CamCAN,16
2472,12,Pooled data Test,0.7477272727272727,0.803030303030303,0.7037037037037037,0.95,['random_Q'],SALD,16
2473,12,Pooled data Test,0.838915470494418,0.899920255183413,0.8596491228070176,0.8596491228070176,['random_Q'],eNKI,16
2474,12,Pooled data Test,0.7836174242424243,0.7992424242424243,0.7666666666666667,0.71875,['random_Q'],CamCAN,16
2475,12,Pooled data Train,0.7984484484484484,0.8848348348348349,0.8227848101265823,0.8783783783783784,['random_Q'],SALD,16
2476,12,Pooled data Train,0.8752465483234714,0.9419283871946593,0.8738461538461538,0.9102564102564102,['random_Q'],eNKI,16
2477,12,Pooled data Train,0.8020143642688812,0.9307597351587925,0.7705627705627706,0.664179104477612,['random_Q'],CamCAN,16
2478,13,Pooled data Test,0.5395299145299145,0.6574074074074074,0.5882352941176471,0.6944444444444444,['random_Q'],SALD,16
2479,13,Pooled data Test,0.7754846779237023,0.8373983739837398,0.775,0.7560975609756098,['random_Q'],eNKI,16
2480,13,Pooled data Test,0.65625,0.822265625,0.5416666666666666,0.40625,['random_Q'],CamCAN,16
2481,13,Pooled data Train,0.7688513037350246,0.8957599248296922,0.7945205479452054,0.8787878787878788,['random_Q'],SALD,16
2482,13,Pooled data Train,0.8526463512429832,0.9402566158781075,0.8530259365994236,0.8604651162790697,['random_Q'],eNKI,16
2483,13,Pooled data Train,0.8246268656716418,0.927489418578748,0.7982832618025751,0.6940298507462687,['random_Q'],CamCAN,16
2484,14,Pooled data Test,0.665625,0.7357142857142858,0.717948717948718,0.8,['random_Q'],SALD,16
2485,14,Pooled data Test,0.7346736980883323,0.8075148319050758,0.7407407407407407,0.8108108108108109,['random_Q'],eNKI,16
2486,14,Pooled data Test,0.6737987987987988,0.8085585585585586,0.6,0.4864864864864865,['random_Q'],CamCAN,16
2487,14,Pooled data Train,0.7596196373286157,0.8815236620964175,0.7811447811447811,0.8721804511278195,['random_Q'],SALD,16
2488,14,Pooled data Train,0.8590116279069768,0.9414970930232558,0.8627450980392157,0.875,['random_Q'],eNKI,16
2489,14,Pooled data Train,0.8373583780560525,0.9308884913536076,0.8141592920353983,0.7131782945736435,['random_Q'],CamCAN,16
2490,15,Pooled data Test,0.5386904761904762,0.6279761904761904,0.5333333333333333,0.625,['random_Q'],SALD,16
2491,15,Pooled data Test,0.7893772893772895,0.8461538461538461,0.8,0.8095238095238095,['random_Q'],eNKI,16
2492,15,Pooled data Test,0.6369047619047619,0.7073412698412699,0.5454545454545454,0.4166666666666667,['random_Q'],CamCAN,16
2493,15,Pooled data Train,0.7674486461251168,0.893265639589169,0.7959183673469388,0.8602941176470589,['random_Q'],SALD,16
2494,15,Pooled data Train,0.8523391812865497,0.938025139477045,0.8538681948424068,0.8713450292397661,['random_Q'],eNKI,16
2495,15,Pooled data Train,0.8506688963210702,0.9517279821627648,0.8281938325991189,0.7230769230769231,['random_Q'],CamCAN,16
2496,16,Pooled data Test,0.6119909502262444,0.7432126696832579,0.6567164179104478,0.6470588235294118,['random_Q'],SALD,16
2497,16,Pooled data Test,0.7282608695652174,0.8109640831758034,0.7524752475247525,0.8260869565217391,['random_Q'],eNKI,16
2498,16,Pooled data Test,0.7085585585585585,0.8144144144144144,0.6666666666666666,0.6333333333333333,['random_Q'],CamCAN,16
2499,16,Pooled data Train,0.7961425268026067,0.8951019550136641,0.8067796610169492,0.8880597014925373,['random_Q'],SALD,16
2500,16,Pooled data Train,0.8532934131736527,0.9446018143354009,0.8579710144927536,0.8862275449101796,['random_Q'],eNKI,16
2501,16,Pooled data Train,0.7884461924304605,0.9068057455540357,0.7574468085106383,0.6544117647058824,['random_Q'],CamCAN,16
2502,17,Pooled data Test,0.6948790896159318,0.7119487908961594,0.7228915662650602,0.8108108108108109,['random_Q'],SALD,16
2503,17,Pooled data Test,0.75,0.8377777777777777,0.7741935483870968,0.8,['random_Q'],eNKI,16
